id,name,questions,points
0,Shivani Saha,1,10
1,ASPB,1,10
2,Immortal,1,10
3,HACKATHON G,1,10
4,HACKATHON A,1,10
5,Code Stomp,1,10
6,awake ? code : sleep,1,10
7,unstoppable coders,1,10
8,Complexity,1,10
9,VVVR,1,10
10,Troopers,1,10
11,HACK ELITE,1,10
12,CSE_5516,1,10
13,Hunter Squad,1,10
14,The Terminators,1,10
15,US,1,10
16,Fine Crew,1,10
17,Hackaholic,1,10
18,Reva shopping,1,10
19,Droid Squad,1,10
20,QUINTET,1,10
21,Saap,1,10
22,Lil Coders,1,10
23,Z2VY,1,10
24,Coders123,1,10
25,Alpha team,1,10
26,Team Un-Grads,1,10
27,AppVision,1,10
28,New Icons,1,10
29,TechFlurry's,1,10
30,Trio,1,10
31,Innovation Geeks,1,10
32,CREATORS,1,10
33,The core four,1,10
34,Team blitz,1,10
35,NBK BOOMERS,1,10
36,Adreeja,1,10
37,THE BRO CODE,1,10
38,Hack AI Elite,1,10
39,Aviators,1,10
40,Zero Buggers,1,10
41,Predator,1,10
42,Code Patrol Delta,1,10
43,Dragons,1,10
44,hack_reva,1,10
45,coding ninja,1,10
46,Binary,1,10
47,ARXP,1,10
48,Hack Elite,1,10
49,Pradarshane,1,10
50,Syntax Sanitizers,1,10
51,HackStreetBoys,1,10
52,Flash,1,10
53,PNS,1,10
54,hiriyu,1,10
55,Tech_bluff,1,10
56,Encephlon,1,10
57,Green.io,1,10
58,Aurora,1,10
59,#include,1,10
60,COFFEE AND CODE,1,10
61,BEINNOVATIVE,1,10
62,Segmentation Fault,1,10
